name,mean,duty_label
duties_18,35.789520838592395,Donating to charity
duties_22,40.21559807461935,Joining the military
duties_29,46.53839660164163,Welcoming refugees
duties_25,47.19516947869295,Making the most of your opportunities
duties_30,51.824761784471285,Being self-reliant
duties_5,52.62978950503287,Staying informed of current events
duties_26,53.74959772956912,Connecting across differences
duties_12,54.80212084875775,Working hard
duties_13,55.61512391995523,Making your voice heard
duties_17,55.68103846654219,Protesting unfairness
duties_6,56.45230888053974,Doing community service
duties_24,57.138330591182786,Loving America
duties_11,59.24287165994534,Being patriotic
duties_27,61.23339432363252,Being grateful for your opportunities
duties_15,64.46707569886205,Supporting your family
duties_9,70.98025211,Caring for future generations
duties_7,71.05369071759172,Respecting people's differences
duties_21,72.61039243664149,Helping your community
duties_23,72.98473736000022,Supporting equality
duties_8,73.71663382236177,Protecting the environment
duties_16,74.67680705997228,Supporting democracy
duties_14,74.98320711127906,Fighting for peopleâ€™s rights
duties_28,77.26692902,Honoring the flag
duties_20,77.84474911547512,Practicing freedom of speech
duties_4,85.19047059323724,Reporting for jury duty
duties_1,85.50454023805744,Voting
duties_19,86.81112211456762,Defending freedom
duties_3,88.86753090686453,Paying your taxes
duties_10,91.00546202153186,Following the Constitution
duties_2,92.95450587477208,Obeying the law