State,n
Alaska,6
Wyoming,6
Vermont,8
North Dakota,9
District of Columbia,11
Rhode Island,12
Montana,13
Hawaii,14
New Hampshire,14
South Dakota,18
Maine,19
West Virginia,20
Idaho,22
Nebraska,22
Delaware,23
New Mexico,29
Mississippi,30
Arkansas,33
Iowa,37
Utah,41
Kansas,42
Oregon,48
Oklahoma,50
Minnesota,51
Kentucky,54
Nevada,60
Alabama,63
Connecticut,72
Louisiana,73
Missouri,73
Washington,73
Colorado,75
South Carolina,94
Indiana,99
Wisconsin,101
Tennessee,103
Maryland,108
Massachusetts,111
Arizona,135
Virginia,140
Georgia,152
Michigan,157
New Jersey,173
Illinois,195
North Carolina,201
Pennsylvania,213
Ohio,224
New York,348
Texas,414
Florida,416
California,495