"income","duty_label","mean"
"$10,000 - $19,999","Voting",79.9904595258152
"$10,000 - $19,999","Following the Constitution",85.878529115971
"$10,000 - $19,999","Being patriotic",54.2947070849202
"$10,000 - $19,999","Working hard",60.9757193510327
"$10,000 - $19,999","Making your voice heard",59.827868648877
"$10,000 - $19,999","Fighting for people’s rights",79.2280977324906
"$10,000 - $19,999","Supporting your family",73.5276536461887
"$10,000 - $19,999","Supporting democracy",64.0082954971339
"$10,000 - $19,999","Protesting unfairness",50.4542027179617
"$10,000 - $19,999","Donating to charity",36.9713060741771
"$10,000 - $19,999","Defending freedom",87.8198392893734
"$10,000 - $19,999","Obeying the law",88.7476314029955
"$10,000 - $19,999","Practicing freedom of speech",75.1500618847372
"$10,000 - $19,999","Helping your community",68.7934414082116
"$10,000 - $19,999","Joining the military",40.6477115568
"$10,000 - $19,999","Supporting equality",65.0867713198225
"$10,000 - $19,999","Loving America",56.773196109333
"$10,000 - $19,999","Making the most of your opportunities",49.5186310952194
"$10,000 - $19,999","Connecting across differences",51.9434164701788
"$10,000 - $19,999","Being grateful for your opportunities",61.145995783862
"$10,000 - $19,999","Honoring the flag",80.8754456327482
"$10,000 - $19,999","Welcoming refugees",42.8574842038337
"$10,000 - $19,999","Paying your taxes",85.3686494480968
"$10,000 - $19,999","Being self-reliant",54.1420202700247
"$10,000 - $19,999","Reporting for jury duty",81.4227577300633
"$10,000 - $19,999","Staying informed of current events",44.3099013611028
"$10,000 - $19,999","Doing community service",53.9044835591544
"$10,000 - $19,999","Respecting people's differences",67.716550144816
"$10,000 - $19,999","Protecting the environment",78.1025846191499
"$10,000 - $19,999","Caring for future generations",70.7372933697216
"$100,000 - $119,999","Voting",93.1357740704923
"$100,000 - $119,999","Following the Constitution",95.3675958401675
"$100,000 - $119,999","Being patriotic",65.2486090655096
"$100,000 - $119,999","Working hard",53.4870683496096
"$100,000 - $119,999","Making your voice heard",58.9540271557584
"$100,000 - $119,999","Fighting for people’s rights",75.1637653967887
"$100,000 - $119,999","Supporting your family",62.1181212449561
"$100,000 - $119,999","Supporting democracy",83.5663391206482
"$100,000 - $119,999","Protesting unfairness",54.9841739270554
"$100,000 - $119,999","Donating to charity",35.9890325153528
"$100,000 - $119,999","Defending freedom",89.2785870930207
"$100,000 - $119,999","Obeying the law",94.8731446058064
"$100,000 - $119,999","Practicing freedom of speech",79.0739137019819
"$100,000 - $119,999","Helping your community",77.3244966497144
"$100,000 - $119,999","Joining the military",43.3682342171049
"$100,000 - $119,999","Supporting equality",73.6754171601673
"$100,000 - $119,999","Loving America",63.0580482740553
"$100,000 - $119,999","Making the most of your opportunities",50.2849846939221
"$100,000 - $119,999","Connecting across differences",50.9422256245628
"$100,000 - $119,999","Being grateful for your opportunities",61.7474120110297
"$100,000 - $119,999","Honoring the flag",77.6359865584639
"$100,000 - $119,999","Welcoming refugees",40.1575257424414
"$100,000 - $119,999","Paying your taxes",88.9461663185556
"$100,000 - $119,999","Being self-reliant",52.0479393581196
"$100,000 - $119,999","Reporting for jury duty",87.884395428378
"$100,000 - $119,999","Staying informed of current events",53.8002123648415
"$100,000 - $119,999","Doing community service",59.2992650666722
"$100,000 - $119,999","Respecting people's differences",70.1644712227211
"$100,000 - $119,999","Protecting the environment",74.2554516378191
"$100,000 - $119,999","Caring for future generations",73.4935369113658
"$120,000 - $149,999","Voting",90.4324167308382
"$120,000 - $149,999","Following the Constitution",94.7871953047501
"$120,000 - $149,999","Being patriotic",65.6880284393456
"$120,000 - $149,999","Working hard",57.5202201906502
"$120,000 - $149,999","Making your voice heard",54.040440309779
"$120,000 - $149,999","Fighting for people’s rights",72.1532450128111
"$120,000 - $149,999","Supporting your family",63.0164931595518
"$120,000 - $149,999","Supporting democracy",82.667076328725
"$120,000 - $149,999","Protesting unfairness",54.2663309136042
"$120,000 - $149,999","Donating to charity",34.466424692202
"$120,000 - $149,999","Defending freedom",86.126841177189
"$120,000 - $149,999","Obeying the law",93.5741881267083
"$120,000 - $149,999","Practicing freedom of speech",77.7586127904226
"$120,000 - $149,999","Helping your community",73.1606255662785
"$120,000 - $149,999","Joining the military",43.6596814579673
"$120,000 - $149,999","Supporting equality",75.1836129375339
"$120,000 - $149,999","Loving America",59.5801697606833
"$120,000 - $149,999","Making the most of your opportunities",47.8643966882906
"$120,000 - $149,999","Connecting across differences",45.2487289572659
"$120,000 - $149,999","Being grateful for your opportunities",62.0659702161995
"$120,000 - $149,999","Honoring the flag",80.2577859306757
"$120,000 - $149,999","Welcoming refugees",47.8705375004914
"$120,000 - $149,999","Paying your taxes",89.4165731352893
"$120,000 - $149,999","Being self-reliant",53.0096679984121
"$120,000 - $149,999","Reporting for jury duty",88.5441069247465
"$120,000 - $149,999","Staying informed of current events",57.6016829572486
"$120,000 - $149,999","Doing community service",59.4390584453437
"$120,000 - $149,999","Respecting people's differences",73.7112457229475
"$120,000 - $149,999","Protecting the environment",72.4106211424056
"$120,000 - $149,999","Caring for future generations",70.5038592629835
"$150,000 - $199,999","Voting",91.2111582172287
"$150,000 - $199,999","Following the Constitution",93.4019828093927
"$150,000 - $199,999","Being patriotic",59.887839042163
"$150,000 - $199,999","Working hard",50.9470738557587
"$150,000 - $199,999","Making your voice heard",50.6566242756124
"$150,000 - $199,999","Fighting for people’s rights",67.1219797729375
"$150,000 - $199,999","Supporting your family",60.5341779641925
"$150,000 - $199,999","Supporting democracy",86.7792387883678
"$150,000 - $199,999","Protesting unfairness",45.4376240336982
"$150,000 - $199,999","Donating to charity",32.8245275699014
"$150,000 - $199,999","Defending freedom",86.722386970936
"$150,000 - $199,999","Obeying the law",97.3015907822145
"$150,000 - $199,999","Practicing freedom of speech",79.7254128052212
"$150,000 - $199,999","Helping your community",72.7917407531442
"$150,000 - $199,999","Joining the military",34.544451739415
"$150,000 - $199,999","Supporting equality",70.2344423517541
"$150,000 - $199,999","Loving America",56.587508649403
"$150,000 - $199,999","Making the most of your opportunities",43.913490813476
"$150,000 - $199,999","Connecting across differences",48.296887456113
"$150,000 - $199,999","Being grateful for your opportunities",58.3094508708643
"$150,000 - $199,999","Honoring the flag",77.0486678900988
"$150,000 - $199,999","Welcoming refugees",42.9693832931531
"$150,000 - $199,999","Paying your taxes",92.7759343408982
"$150,000 - $199,999","Being self-reliant",53.1238224177464
"$150,000 - $199,999","Reporting for jury duty",94.4810972696202
"$150,000 - $199,999","Staying informed of current events",56.5959750166139
"$150,000 - $199,999","Doing community service",54.5791852395793
"$150,000 - $199,999","Respecting people's differences",67.5009657388132
"$150,000 - $199,999","Protecting the environment",72.7750701048985
"$150,000 - $199,999","Caring for future generations",68.0227096988346
"$20,000 - $29,999","Voting",83.578695152317
"$20,000 - $29,999","Following the Constitution",91.1452305104992
"$20,000 - $29,999","Being patriotic",57.7270454019752
"$20,000 - $29,999","Working hard",59.6717075042311
"$20,000 - $29,999","Making your voice heard",61.0629137638884
"$20,000 - $29,999","Fighting for people’s rights",78.8878733396397
"$20,000 - $29,999","Supporting your family",63.8644632875791
"$20,000 - $29,999","Supporting democracy",69.6726384566058
"$20,000 - $29,999","Protesting unfairness",54.1010720905965
"$20,000 - $29,999","Donating to charity",36.8170877181851
"$20,000 - $29,999","Defending freedom",86.4935656409748
"$20,000 - $29,999","Obeying the law",92.7694692278906
"$20,000 - $29,999","Practicing freedom of speech",81.7801598478479
"$20,000 - $29,999","Helping your community",74.3032399538144
"$20,000 - $29,999","Joining the military",41.8447275815562
"$20,000 - $29,999","Supporting equality",77.8888067251356
"$20,000 - $29,999","Loving America",53.7319647678183
"$20,000 - $29,999","Making the most of your opportunities",50.7257181885762
"$20,000 - $29,999","Connecting across differences",58.1373740631653
"$20,000 - $29,999","Being grateful for your opportunities",65.7445742815618
"$20,000 - $29,999","Honoring the flag",78.2130102541161
"$20,000 - $29,999","Welcoming refugees",48.8714817256825
"$20,000 - $29,999","Paying your taxes",86.2432529541911
"$20,000 - $29,999","Being self-reliant",53.0894665928762
"$20,000 - $29,999","Reporting for jury duty",82.5807342124637
"$20,000 - $29,999","Staying informed of current events",52.3905857105615
"$20,000 - $29,999","Doing community service",55.3287005499265
"$20,000 - $29,999","Respecting people's differences",73.999499501035
"$20,000 - $29,999","Protecting the environment",72.8685825567598
"$20,000 - $29,999","Caring for future generations",70.0411721102072
"$200,000 - $249,999","Voting",93.1490592829049
"$200,000 - $249,999","Following the Constitution",95.2292215388103
"$200,000 - $249,999","Being patriotic",57.2560720725982
"$200,000 - $249,999","Working hard",51.124126459179
"$200,000 - $249,999","Making your voice heard",49.2387303239496
"$200,000 - $249,999","Fighting for people’s rights",72.5417229506381
"$200,000 - $249,999","Supporting your family",62.1411971060977
"$200,000 - $249,999","Supporting democracy",86.4844752501686
"$200,000 - $249,999","Protesting unfairness",53.6657895065644
"$200,000 - $249,999","Donating to charity",33.281915438779
"$200,000 - $249,999","Defending freedom",90.7414345409163
"$200,000 - $249,999","Obeying the law",98.1491007921096
"$200,000 - $249,999","Practicing freedom of speech",81.4849392185947
"$200,000 - $249,999","Helping your community",75.7164344386156
"$200,000 - $249,999","Joining the military",37.2655492248624
"$200,000 - $249,999","Supporting equality",70.8064608135828
"$200,000 - $249,999","Loving America",57.0752772579093
"$200,000 - $249,999","Making the most of your opportunities",45.3912522440558
"$200,000 - $249,999","Connecting across differences",53.1884137007808
"$200,000 - $249,999","Being grateful for your opportunities",59.858625227886
"$200,000 - $249,999","Honoring the flag",77.9544104488667
"$200,000 - $249,999","Welcoming refugees",45.5190728174452
"$200,000 - $249,999","Paying your taxes",91.5414794546754
"$200,000 - $249,999","Being self-reliant",55.1605867578721
"$200,000 - $249,999","Reporting for jury duty",92.4904753241049
"$200,000 - $249,999","Staying informed of current events",54.5617940012093
"$200,000 - $249,999","Doing community service",53.3006999055766
"$200,000 - $249,999","Respecting people's differences",71.8832540658974
"$200,000 - $249,999","Protecting the environment",71.4270091882586
"$200,000 - $249,999","Caring for future generations",73.7249083999523
"$250,000 - $349,999","Voting",94.4251640899972
"$250,000 - $349,999","Following the Constitution",96.1262596115943
"$250,000 - $349,999","Being patriotic",61.2017421972685
"$250,000 - $349,999","Working hard",50.7927605097253
"$250,000 - $349,999","Making your voice heard",52.0718112568417
"$250,000 - $349,999","Fighting for people’s rights",69.4198513254679
"$250,000 - $349,999","Supporting your family",57.7442142427885
"$250,000 - $349,999","Supporting democracy",94.5906173287867
"$250,000 - $349,999","Protesting unfairness",56.9056727234292
"$250,000 - $349,999","Donating to charity",38.6461964051789
"$250,000 - $349,999","Defending freedom",82.7192123167042
"$250,000 - $349,999","Obeying the law",95.9839961050367
"$250,000 - $349,999","Practicing freedom of speech",82.8511566725237
"$250,000 - $349,999","Helping your community",74.9250019015054
"$250,000 - $349,999","Joining the military",39.9746051904863
"$250,000 - $349,999","Supporting equality",72.596240464905
"$250,000 - $349,999","Loving America",60.4415482537
"$250,000 - $349,999","Making the most of your opportunities",39.9537451534652
"$250,000 - $349,999","Connecting across differences",48.503837783123
"$250,000 - $349,999","Being grateful for your opportunities",66.3775089641429
"$250,000 - $349,999","Honoring the flag",77.5281088312133
"$250,000 - $349,999","Welcoming refugees",47.9819854188942
"$250,000 - $349,999","Paying your taxes",96.7965425706161
"$250,000 - $349,999","Being self-reliant",47.3655785753517
"$250,000 - $349,999","Reporting for jury duty",92.4415969538996
"$250,000 - $349,999","Staying informed of current events",57.7358785838455
"$250,000 - $349,999","Doing community service",55.1891982668058
"$250,000 - $349,999","Respecting people's differences",70.0701856934518
"$250,000 - $349,999","Protecting the environment",70.4188341104794
"$250,000 - $349,999","Caring for future generations",65.155663117494
"$30,000 - $39,999","Voting",89.1877861140551
"$30,000 - $39,999","Following the Constitution",91.7206112209609
"$30,000 - $39,999","Being patriotic",60.5870248876972
"$30,000 - $39,999","Working hard",51.6215194742219
"$30,000 - $39,999","Making your voice heard",55.995371203375
"$30,000 - $39,999","Fighting for people’s rights",75.3700448009001
"$30,000 - $39,999","Supporting your family",62.8703379626055
"$30,000 - $39,999","Supporting democracy",73.5526062700694
"$30,000 - $39,999","Protesting unfairness",55.9160867066514
"$30,000 - $39,999","Donating to charity",36.1675480060939
"$30,000 - $39,999","Defending freedom",86.6374960060969
"$30,000 - $39,999","Obeying the law",93.1982768307461
"$30,000 - $39,999","Practicing freedom of speech",73.5577463366762
"$30,000 - $39,999","Helping your community",72.2663430254523
"$30,000 - $39,999","Joining the military",41.4899962427569
"$30,000 - $39,999","Supporting equality",73.8127228277492
"$30,000 - $39,999","Loving America",60.0951859720868
"$30,000 - $39,999","Making the most of your opportunities",45.5825651870648
"$30,000 - $39,999","Connecting across differences",56.2814973266503
"$30,000 - $39,999","Being grateful for your opportunities",61.9860077287873
"$30,000 - $39,999","Honoring the flag",75.700238274941
"$30,000 - $39,999","Welcoming refugees",48.5741114618317
"$30,000 - $39,999","Paying your taxes",87.3103880860601
"$30,000 - $39,999","Being self-reliant",45.9519531588632
"$30,000 - $39,999","Reporting for jury duty",84.6676473136316
"$30,000 - $39,999","Staying informed of current events",57.013409649325
"$30,000 - $39,999","Doing community service",55.4569568646254
"$30,000 - $39,999","Respecting people's differences",71.9438010005226
"$30,000 - $39,999","Protecting the environment",75.3702322946746
"$30,000 - $39,999","Caring for future generations",70.8229692351557
"$350,000 - $499,999","Voting",93.2827789938735
"$350,000 - $499,999","Following the Constitution",96.7526546761587
"$350,000 - $499,999","Being patriotic",66.0239904291599
"$350,000 - $499,999","Working hard",54.393092304279
"$350,000 - $499,999","Making your voice heard",61.2569822483289
"$350,000 - $499,999","Fighting for people’s rights",64.7196679871433
"$350,000 - $499,999","Supporting your family",68.2811001513423
"$350,000 - $499,999","Supporting democracy",91.9007241845713
"$350,000 - $499,999","Protesting unfairness",53.9812681815472
"$350,000 - $499,999","Donating to charity",59.0445571454688
"$350,000 - $499,999","Defending freedom",90.9607382457827
"$350,000 - $499,999","Obeying the law",96.7526546761587
"$350,000 - $499,999","Practicing freedom of speech",84.2204807848444
"$350,000 - $499,999","Helping your community",85.115778902479
"$350,000 - $499,999","Joining the military",45.2209549402662
"$350,000 - $499,999","Supporting equality",67.4594347503487
"$350,000 - $499,999","Loving America",59.047608166944
"$350,000 - $499,999","Making the most of your opportunities",53.8723816360488
"$350,000 - $499,999","Connecting across differences",54.9379409812445
"$350,000 - $499,999","Being grateful for your opportunities",66.9011261284237
"$350,000 - $499,999","Honoring the flag",76.7048180262364
"$350,000 - $499,999","Welcoming refugees",47.3935160224476
"$350,000 - $499,999","Paying your taxes",95.6746541355866
"$350,000 - $499,999","Being self-reliant",60.890579852314
"$350,000 - $499,999","Reporting for jury duty",95.4285168738045
"$350,000 - $499,999","Staying informed of current events",66.8562600689255
"$350,000 - $499,999","Doing community service",68.3778999591679
"$350,000 - $499,999","Respecting people's differences",73.8765761502895
"$350,000 - $499,999","Protecting the environment",78.3388073980378
"$350,000 - $499,999","Caring for future generations",76.787833470505
"$40,000 - $49,999","Voting",81.8061113379228
"$40,000 - $49,999","Following the Constitution",88.8148985829001
"$40,000 - $49,999","Being patriotic",57.994113358751
"$40,000 - $49,999","Working hard",52.9902486838955
"$40,000 - $49,999","Making your voice heard",60.5554773405357
"$40,000 - $49,999","Fighting for people’s rights",76.8314199021327
"$40,000 - $49,999","Supporting your family",66.5430229459617
"$40,000 - $49,999","Supporting democracy",73.8866070239622
"$40,000 - $49,999","Protesting unfairness",60.6312739912092
"$40,000 - $49,999","Donating to charity",36.3607668858276
"$40,000 - $49,999","Defending freedom",90.575160959101
"$40,000 - $49,999","Obeying the law",92.8303176059836
"$40,000 - $49,999","Practicing freedom of speech",77.3774365182725
"$40,000 - $49,999","Helping your community",75.5236392723256
"$40,000 - $49,999","Joining the military",36.0564656240708
"$40,000 - $49,999","Supporting equality",74.6767158974676
"$40,000 - $49,999","Loving America",54.9929418829151
"$40,000 - $49,999","Making the most of your opportunities",47.0101388020206
"$40,000 - $49,999","Connecting across differences",59.1844411055079
"$40,000 - $49,999","Being grateful for your opportunities",59.3231250796706
"$40,000 - $49,999","Honoring the flag",79.3842012901409
"$40,000 - $49,999","Welcoming refugees",45.474035466715
"$40,000 - $49,999","Paying your taxes",86.139433889322
"$40,000 - $49,999","Being self-reliant",50.8189022655598
"$40,000 - $49,999","Reporting for jury duty",84.6483347926373
"$40,000 - $49,999","Staying informed of current events",50.6984651841042
"$40,000 - $49,999","Doing community service",58.797539932754
"$40,000 - $49,999","Respecting people's differences",74.7795755077444
"$40,000 - $49,999","Protecting the environment",74.5217830842475
"$40,000 - $49,999","Caring for future generations",74.305591933286
"$50,000 - $59,999","Voting",85.9828196354186
"$50,000 - $59,999","Following the Constitution",86.9246152132384
"$50,000 - $59,999","Being patriotic",57.0629102765072
"$50,000 - $59,999","Working hard",53.0839037670414
"$50,000 - $59,999","Making your voice heard",48.7710567967582
"$50,000 - $59,999","Fighting for people’s rights",74.6918406136017
"$50,000 - $59,999","Supporting your family",62.9638726282638
"$50,000 - $59,999","Supporting democracy",72.6965258032442
"$50,000 - $59,999","Protesting unfairness",51.7794831966453
"$50,000 - $59,999","Donating to charity",37.2292858660546
"$50,000 - $59,999","Defending freedom",84.8842005156954
"$50,000 - $59,999","Obeying the law",89.9558170984472
"$50,000 - $59,999","Practicing freedom of speech",74.7343914595654
"$50,000 - $59,999","Helping your community",72.8031848604646
"$50,000 - $59,999","Joining the military",39.938605174085
"$50,000 - $59,999","Supporting equality",70.6325607114752
"$50,000 - $59,999","Loving America",54.4875799407344
"$50,000 - $59,999","Making the most of your opportunities",43.5599921415799
"$50,000 - $59,999","Connecting across differences",50.5797109942196
"$50,000 - $59,999","Being grateful for your opportunities",57.5585399869894
"$50,000 - $59,999","Honoring the flag",70.8544340011659
"$50,000 - $59,999","Welcoming refugees",41.2417608252333
"$50,000 - $59,999","Paying your taxes",89.2772837912325
"$50,000 - $59,999","Being self-reliant",49.9316973230122
"$50,000 - $59,999","Reporting for jury duty",80.932271034285
"$50,000 - $59,999","Staying informed of current events",50.2818500528615
"$50,000 - $59,999","Doing community service",53.7635369331654
"$50,000 - $59,999","Respecting people's differences",71.013000458134
"$50,000 - $59,999","Protecting the environment",67.9312956968003
"$50,000 - $59,999","Caring for future generations",67.2586584791829
"$500,000 or more","Voting",94.423918287856
"$500,000 or more","Following the Constitution",82.0977498218019
"$500,000 or more","Being patriotic",63.1689844496177
"$500,000 or more","Working hard",63.2265287257877
"$500,000 or more","Making your voice heard",77.0004565378681
"$500,000 or more","Fighting for people’s rights",77.6717404929956
"$500,000 or more","Supporting your family",74.7770124104793
"$500,000 or more","Supporting democracy",95.6462950249378
"$500,000 or more","Protesting unfairness",61.2200746836164
"$500,000 or more","Donating to charity",58.2060789824321
"$500,000 or more","Defending freedom",88.8559912998652
"$500,000 or more","Obeying the law",97.6972077822832
"$500,000 or more","Practicing freedom of speech",82.4880554353806
"$500,000 or more","Helping your community",87.9884137895867
"$500,000 or more","Joining the military",52.4879773364022
"$500,000 or more","Supporting equality",89.0231689909252
"$500,000 or more","Loving America",64.2279113171931
"$500,000 or more","Making the most of your opportunities",60.4416546503006
"$500,000 or more","Connecting across differences",75.7784060573719
"$500,000 or more","Being grateful for your opportunities",70.8372022815337
"$500,000 or more","Honoring the flag",75.2393534705687
"$500,000 or more","Welcoming refugees",65.4809619505992
"$500,000 or more","Paying your taxes",92.3784989205247
"$500,000 or more","Being self-reliant",62.8865402666719
"$500,000 or more","Reporting for jury duty",90.3765909355957
"$500,000 or more","Staying informed of current events",68.0489300868926
"$500,000 or more","Doing community service",73.0579495043478
"$500,000 or more","Respecting people's differences",86.6149177656035
"$500,000 or more","Protecting the environment",89.7504959815798
"$500,000 or more","Caring for future generations",84.8011388768374
"$60,000 - $69,999","Voting",87.3562606552118
"$60,000 - $69,999","Following the Constitution",92.2791714489462
"$60,000 - $69,999","Being patriotic",62.3469816834963
"$60,000 - $69,999","Working hard",59.0949520135877
"$60,000 - $69,999","Making your voice heard",56.5416663487404
"$60,000 - $69,999","Fighting for people’s rights",79.9908496826844
"$60,000 - $69,999","Supporting your family",63.5424296188624
"$60,000 - $69,999","Supporting democracy",76.2586026730623
"$60,000 - $69,999","Protesting unfairness",60.6123261428789
"$60,000 - $69,999","Donating to charity",29.1921445494595
"$60,000 - $69,999","Defending freedom",86.0425069272425
"$60,000 - $69,999","Obeying the law",95.8657675578475
"$60,000 - $69,999","Practicing freedom of speech",80.0010541592292
"$60,000 - $69,999","Helping your community",71.4445137668991
"$60,000 - $69,999","Joining the military",37.8428767900028
"$60,000 - $69,999","Supporting equality",79.9884841818352
"$60,000 - $69,999","Loving America",51.0145488093693
"$60,000 - $69,999","Making the most of your opportunities",43.3114019901866
"$60,000 - $69,999","Connecting across differences",51.6121541782778
"$60,000 - $69,999","Being grateful for your opportunities",63.0073012918215
"$60,000 - $69,999","Honoring the flag",78.6249535536043
"$60,000 - $69,999","Welcoming refugees",45.453512708506
"$60,000 - $69,999","Paying your taxes",94.7233283133522
"$60,000 - $69,999","Being self-reliant",49.2571850563123
"$60,000 - $69,999","Reporting for jury duty",88.9105165323057
"$60,000 - $69,999","Staying informed of current events",48.1039246754358
"$60,000 - $69,999","Doing community service",54.7314019763534
"$60,000 - $69,999","Respecting people's differences",65.5525210419882
"$60,000 - $69,999","Protecting the environment",73.7785003482264
"$60,000 - $69,999","Caring for future generations",69.1589420369472
"$70,000 - $79,999","Voting",86.1693098870994
"$70,000 - $79,999","Following the Constitution",92.4907032823015
"$70,000 - $79,999","Being patriotic",61.2371438283916
"$70,000 - $79,999","Working hard",52.0209714728556
"$70,000 - $79,999","Making your voice heard",52.9983287707404
"$70,000 - $79,999","Fighting for people’s rights",73.43469641424
"$70,000 - $79,999","Supporting your family",63.848110952525
"$70,000 - $79,999","Supporting democracy",74.213008064313
"$70,000 - $79,999","Protesting unfairness",56.5485450521034
"$70,000 - $79,999","Donating to charity",35.535467855402
"$70,000 - $79,999","Defending freedom",84.198000781007
"$70,000 - $79,999","Obeying the law",92.2549659046819
"$70,000 - $79,999","Practicing freedom of speech",75.7301408251531
"$70,000 - $79,999","Helping your community",69.7973637430329
"$70,000 - $79,999","Joining the military",39.738121349599
"$70,000 - $79,999","Supporting equality",67.3049954155105
"$70,000 - $79,999","Loving America",60.5000886434757
"$70,000 - $79,999","Making the most of your opportunities",44.427415512691
"$70,000 - $79,999","Connecting across differences",48.3017482405392
"$70,000 - $79,999","Being grateful for your opportunities",58.0762751399071
"$70,000 - $79,999","Honoring the flag",76.689395288921
"$70,000 - $79,999","Welcoming refugees",41.5949899108175
"$70,000 - $79,999","Paying your taxes",92.5099431635435
"$70,000 - $79,999","Being self-reliant",56.9383358879578
"$70,000 - $79,999","Reporting for jury duty",83.3736327403947
"$70,000 - $79,999","Staying informed of current events",53.9655112018112
"$70,000 - $79,999","Doing community service",56.8259372157146
"$70,000 - $79,999","Respecting people's differences",63.9742024969489
"$70,000 - $79,999","Protecting the environment",70.846281112904
"$70,000 - $79,999","Caring for future generations",66.96022281898
"$80,000 - $99,999","Voting",87.1894080564374
"$80,000 - $99,999","Following the Constitution",91.8201753281905
"$80,000 - $99,999","Being patriotic",56.6530763102236
"$80,000 - $99,999","Working hard",49.127916833303
"$80,000 - $99,999","Making your voice heard",48.7444548823918
"$80,000 - $99,999","Fighting for people’s rights",68.7854786082202
"$80,000 - $99,999","Supporting your family",62.1343868085038
"$80,000 - $99,999","Supporting democracy",80.0830198013371
"$80,000 - $99,999","Protesting unfairness",54.7735418839637
"$80,000 - $99,999","Donating to charity",30.5603497232431
"$80,000 - $99,999","Defending freedom",87.5316400450904
"$80,000 - $99,999","Obeying the law",91.6033431393715
"$80,000 - $99,999","Practicing freedom of speech",80.4453005450525
"$80,000 - $99,999","Helping your community",71.1737470529064
"$80,000 - $99,999","Joining the military",37.4552731295776
"$80,000 - $99,999","Supporting equality",71.8636757809637
"$80,000 - $99,999","Loving America",57.1700266738598
"$80,000 - $99,999","Making the most of your opportunities",39.3692005884701
"$80,000 - $99,999","Connecting across differences",48.1215879094112
"$80,000 - $99,999","Being grateful for your opportunities",59.3958643940746
"$80,000 - $99,999","Honoring the flag",74.4790854418003
"$80,000 - $99,999","Welcoming refugees",46.0181021471852
"$80,000 - $99,999","Paying your taxes",90.4303240236091
"$80,000 - $99,999","Being self-reliant",46.8406216522979
"$80,000 - $99,999","Reporting for jury duty",89.8397108257441
"$80,000 - $99,999","Staying informed of current events",48.2985972734623
"$80,000 - $99,999","Doing community service",51.8822330353362
"$80,000 - $99,999","Respecting people's differences",70.2310128807286
"$80,000 - $99,999","Protecting the environment",68.6002518951311
"$80,000 - $99,999","Caring for future generations",71.5291051921122
"Less than $10,000","Voting",75.4366285280262
"Less than $10,000","Following the Constitution",84.9116273333054
"Less than $10,000","Being patriotic",63.6664842318929
"Less than $10,000","Working hard",60.2803260577673
"Less than $10,000","Making your voice heard",65.697874471924
"Less than $10,000","Fighting for people’s rights",76.571118917219
"Less than $10,000","Supporting your family",74.3565599781134
"Less than $10,000","Supporting democracy",66.3683304176042
"Less than $10,000","Protesting unfairness",59.7435854235716
"Less than $10,000","Donating to charity",43.2601382183231
"Less than $10,000","Defending freedom",85.3750069738112
"Less than $10,000","Obeying the law",88.8827302372012
"Less than $10,000","Practicing freedom of speech",76.320351308553
"Less than $10,000","Helping your community",66.8696483561458
"Less than $10,000","Joining the military",40.0188233273091
"Less than $10,000","Supporting equality",74.6299965017773
"Less than $10,000","Loving America",62.8806648629168
"Less than $10,000","Making the most of your opportunities",54.8169312481788
"Less than $10,000","Connecting across differences",54.9113587501936
"Less than $10,000","Being grateful for your opportunities",68.3472568568787
"Less than $10,000","Honoring the flag",80.2983420120535
"Less than $10,000","Welcoming refugees",52.5424740460048
"Less than $10,000","Paying your taxes",80.920120357098
"Less than $10,000","Being self-reliant",53.7988947790377
"Less than $10,000","Reporting for jury duty",76.9589670762351
"Less than $10,000","Staying informed of current events",48.9829051296239
"Less than $10,000","Doing community service",58.7778109164606
"Less than $10,000","Respecting people's differences",74.8299204474735
"Less than $10,000","Protecting the environment",78.2074446612434
"Less than $10,000","Caring for future generations",73.6045005763405
"Prefer not to say","Voting",96.2034056829817
"Prefer not to say","Following the Constitution",93.0409823316883
"Prefer not to say","Being patriotic",58.0302619694866
"Prefer not to say","Working hard",58.7922420775604
"Prefer not to say","Making your voice heard",58.2758724349767
"Prefer not to say","Fighting for people’s rights",79.4050469412335
"Prefer not to say","Supporting your family",67.0036312694237
"Prefer not to say","Supporting democracy",84.0839388260114
"Prefer not to say","Protesting unfairness",64.445918320685
"Prefer not to say","Donating to charity",39.5227821641374
"Prefer not to say","Defending freedom",92.434246994865
"Prefer not to say","Obeying the law",90.6322053558766
"Prefer not to say","Practicing freedom of speech",72.7686246231441
"Prefer not to say","Helping your community",77.9704291232357
"Prefer not to say","Joining the military",50.9033000833549
"Prefer not to say","Supporting equality",77.7598737400889
"Prefer not to say","Loving America",63.5139866908742
"Prefer not to say","Making the most of your opportunities",55.8826975542025
"Prefer not to say","Connecting across differences",64.1924657582337
"Prefer not to say","Being grateful for your opportunities",65.3195816887676
"Prefer not to say","Honoring the flag",83.1657116843265
"Prefer not to say","Welcoming refugees",49.8717084839004
"Prefer not to say","Paying your taxes",85.7855676218238
"Prefer not to say","Being self-reliant",58.0807759904679
"Prefer not to say","Reporting for jury duty",80.3660799873974
"Prefer not to say","Staying informed of current events",51.5404227477842
"Prefer not to say","Doing community service",62.5000946514152
"Prefer not to say","Respecting people's differences",78.5096890860506
"Prefer not to say","Protecting the environment",75.2092692527821
"Prefer not to say","Caring for future generations",73.9808378804511
