"racegroup","duty_label","mean"
"Asian","Voting",90.6036626975743
"Asian","Following the Constitution",90.2265384553152
"Asian","Being patriotic",60.4905940366965
"Asian","Working hard",56.5888003227392
"Asian","Making your voice heard",67.6006174631619
"Asian","Fighting for people’s rights",77.106942835761
"Asian","Supporting your family",64.7794218858408
"Asian","Supporting democracy",78.7723393867761
"Asian","Protesting unfairness",59.411515010234
"Asian","Donating to charity",35.1016449723861
"Asian","Defending freedom",89.2229373437425
"Asian","Obeying the law",90.6357276453013
"Asian","Practicing freedom of speech",83.0446409214114
"Asian","Helping your community",76.9449394758114
"Asian","Joining the military",43.5401846119959
"Asian","Supporting equality",77.8178571033555
"Asian","Loving America",61.6832217727831
"Asian","Making the most of your opportunities",51.9917666925334
"Asian","Connecting across differences",62.9721926572393
"Asian","Being grateful for your opportunities",63.836133483514
"Asian","Honoring the flag",77.4053341645207
"Asian","Welcoming refugees",54.7241191503767
"Asian","Paying your taxes",85.695706067836
"Asian","Being self-reliant",60.0071246209332
"Asian","Reporting for jury duty",84.5629704492666
"Asian","Staying informed of current events",54.2749098466367
"Asian","Doing community service",60.4446456623875
"Asian","Respecting people's differences",79.4508511431131
"Asian","Protecting the environment",77.8055102485255
"Asian","Caring for future generations",79.9708229855185
"Black","Voting",85.1230657752359
"Black","Following the Constitution",84.7069316959994
"Black","Being patriotic",52.4224480750246
"Black","Working hard",62.4207414560592
"Black","Making your voice heard",67.8788636260265
"Black","Fighting for people’s rights",81.6810050130989
"Black","Supporting your family",70.7468427618439
"Black","Supporting democracy",67.6129869745856
"Black","Protesting unfairness",63.9521381718868
"Black","Donating to charity",46.956593458795
"Black","Defending freedom",85.3851462780867
"Black","Obeying the law",90.406903146714
"Black","Practicing freedom of speech",78.7379912169879
"Black","Helping your community",76.1036746809069
"Black","Joining the military",39.4280066180349
"Black","Supporting equality",83.349727376753
"Black","Loving America",57.0525220950901
"Black","Making the most of your opportunities",57.7437919265393
"Black","Connecting across differences",58.393058063008
"Black","Being grateful for your opportunities",59.6651385556911
"Black","Honoring the flag",70.9552251003727
"Black","Welcoming refugees",48.3225621363109
"Black","Paying your taxes",85.4629183070382
"Black","Being self-reliant",57.2607500479222
"Black","Reporting for jury duty",79.3932887569679
"Black","Staying informed of current events",55.4111075300336
"Black","Doing community service",64.319997123177
"Black","Respecting people's differences",76.1050039158528
"Black","Protecting the environment",78.4348301606368
"Black","Caring for future generations",74.4180233228947
"Hispanic","Voting",80.7337977783915
"Hispanic","Following the Constitution",86.5287837329675
"Hispanic","Being patriotic",57.904401510366
"Hispanic","Working hard",63.2561659968696
"Hispanic","Making your voice heard",68.2958142531469
"Hispanic","Fighting for people’s rights",77.1879568066933
"Hispanic","Supporting your family",72.745968488185
"Hispanic","Supporting democracy",71.1518019953864
"Hispanic","Protesting unfairness",63.6026204621669
"Hispanic","Donating to charity",41.7846630293808
"Hispanic","Defending freedom",84.5987070813309
"Hispanic","Obeying the law",89.223318749505
"Hispanic","Practicing freedom of speech",80.865452818988
"Hispanic","Helping your community",73.7095241473701
"Hispanic","Joining the military",38.1106449085113
"Hispanic","Supporting equality",73.0246718515723
"Hispanic","Loving America",56.7401639535631
"Hispanic","Making the most of your opportunities",55.008685674838
"Hispanic","Connecting across differences",59.9327801508913
"Hispanic","Being grateful for your opportunities",66.9804927288229
"Hispanic","Honoring the flag",73.1210545481025
"Hispanic","Welcoming refugees",50.7137673071047
"Hispanic","Paying your taxes",87.0372042023069
"Hispanic","Being self-reliant",54.0475644385608
"Hispanic","Reporting for jury duty",77.9992579981478
"Hispanic","Staying informed of current events",56.6402369880182
"Hispanic","Doing community service",58.6119890695055
"Hispanic","Respecting people's differences",77.0547755857287
"Hispanic","Protecting the environment",76.5203856472543
"Hispanic","Caring for future generations",74.6961834893942
"Mixed race","Voting",82.6993402024899
"Mixed race","Following the Constitution",92.4427892965543
"Mixed race","Being patriotic",53.6886273743325
"Mixed race","Working hard",52.6941204067446
"Mixed race","Making your voice heard",57.9371058097465
"Mixed race","Fighting for people’s rights",84.8250970867358
"Mixed race","Supporting your family",69.9848852273746
"Mixed race","Supporting democracy",76.1883535224418
"Mixed race","Protesting unfairness",62.5697292579347
"Mixed race","Donating to charity",46.1830466060256
"Mixed race","Defending freedom",91.7182001921023
"Mixed race","Obeying the law",93.1277618324831
"Mixed race","Practicing freedom of speech",84.7909009259845
"Mixed race","Helping your community",83.5704605703026
"Mixed race","Joining the military",37.7478989864669
"Mixed race","Supporting equality",79.8365203189989
"Mixed race","Loving America",56.1192155889191
"Mixed race","Making the most of your opportunities",47.2805492257078
"Mixed race","Connecting across differences",61.9274968064146
"Mixed race","Being grateful for your opportunities",56.5757121940516
"Mixed race","Honoring the flag",79.8863709001
"Mixed race","Welcoming refugees",53.9140406673825
"Mixed race","Paying your taxes",79.9997677824179
"Mixed race","Being self-reliant",45.9144975170672
"Mixed race","Reporting for jury duty",82.9987717840833
"Mixed race","Staying informed of current events",50.2217609604705
"Mixed race","Doing community service",69.6300322101373
"Mixed race","Respecting people's differences",70.0776321653089
"Mixed race","Protecting the environment",74.3693500231218
"Mixed race","Caring for future generations",71.064196959698
"Native American","Voting",72.7708683638906
"Native American","Following the Constitution",84.8933190090002
"Native American","Being patriotic",34.6297705295725
"Native American","Working hard",41.5187506226183
"Native American","Making your voice heard",41.3774037012234
"Native American","Fighting for people’s rights",72.0792032479638
"Native American","Supporting your family",43.6736559170231
"Native American","Supporting democracy",70.6414390742876
"Native American","Protesting unfairness",45.3081991451961
"Native American","Donating to charity",20.0141410974409
"Native American","Defending freedom",86.6103912123119
"Native American","Obeying the law",80.8335048707847
"Native American","Practicing freedom of speech",62.7151655869581
"Native American","Helping your community",63.1111202935393
"Native American","Joining the military",49.2321111934146
"Native American","Supporting equality",60.6050531394941
"Native American","Loving America",53.9081237746201
"Native American","Making the most of your opportunities",40.2588226355637
"Native American","Connecting across differences",53.795079775145
"Native American","Being grateful for your opportunities",36.851671491859
"Native American","Honoring the flag",71.3786439233517
"Native American","Welcoming refugees",44.6584079305124
"Native American","Paying your taxes",75.0534741863431
"Native American","Being self-reliant",44.5147638513843
"Native American","Reporting for jury duty",67.1659415649558
"Native American","Staying informed of current events",44.9650646912399
"Native American","Doing community service",62.109540431733
"Native American","Respecting people's differences",52.6278933747374
"Native American","Protecting the environment",62.0705127888379
"Native American","Caring for future generations",41.295834133481
"Native Hawaiian","Voting",89.9985068488615
"Native Hawaiian","Following the Constitution",100
"Native Hawaiian","Being patriotic",72.0860000887182
"Native Hawaiian","Working hard",72.1840961494816
"Native Hawaiian","Making your voice heard",47.8659474264672
"Native Hawaiian","Fighting for people’s rights",79.4144939905413
"Native Hawaiian","Supporting your family",82.7681090078018
"Native Hawaiian","Supporting democracy",78.032543915315
"Native Hawaiian","Protesting unfairness",74.2474861489252
"Native Hawaiian","Donating to charity",54.0473198416105
"Native Hawaiian","Defending freedom",93.9529856843775
"Native Hawaiian","Obeying the law",100
"Native Hawaiian","Practicing freedom of speech",96.0455211644839
"Native Hawaiian","Helping your community",82.7149962875582
"Native Hawaiian","Joining the military",59.276964785287
"Native Hawaiian","Supporting equality",88.104530819651
"Native Hawaiian","Loving America",65.0646949726784
"Native Hawaiian","Making the most of your opportunities",68.6105434526574
"Native Hawaiian","Connecting across differences",74.0834959314671
"Native Hawaiian","Being grateful for your opportunities",69.9910301450413
"Native Hawaiian","Honoring the flag",84.1524864477055
"Native Hawaiian","Welcoming refugees",66.0893928663906
"Native Hawaiian","Paying your taxes",88.8676352890123
"Native Hawaiian","Being self-reliant",61.3193665058313
"Native Hawaiian","Reporting for jury duty",85.3845685249733
"Native Hawaiian","Staying informed of current events",50.1236660418771
"Native Hawaiian","Doing community service",78.4369206185165
"Native Hawaiian","Respecting people's differences",100
"Native Hawaiian","Protecting the environment",84.1874036375709
"Native Hawaiian","Caring for future generations",85.6155792974233
"Other","Voting",66.4286256159055
"Other","Following the Constitution",52.3573103435764
"Other","Being patriotic",51.7151429506836
"Other","Working hard",63.9612781152751
"Other","Making your voice heard",69.3349268821635
"Other","Fighting for people’s rights",55.9749929085978
"Other","Supporting your family",58.7665009721789
"Other","Supporting democracy",47.3129973576031
"Other","Protesting unfairness",61.4604570389242
"Other","Donating to charity",46.5976458200306
"Other","Defending freedom",77.6967561268051
"Other","Obeying the law",79.4773578205449
"Other","Practicing freedom of speech",83.6487846876375
"Other","Helping your community",64.0159433286893
"Other","Joining the military",31.7415995513676
"Other","Supporting equality",66.4213396753362
"Other","Loving America",65.0905503671417
"Other","Making the most of your opportunities",47.7704722996083
"Other","Connecting across differences",54.848156373606
"Other","Being grateful for your opportunities",75.7878565597601
"Other","Honoring the flag",72.4269120895987
"Other","Welcoming refugees",20.694609334422
"Other","Paying your taxes",88.7985290826572
"Other","Being self-reliant",61.3207620971596
"Other","Reporting for jury duty",74.0790735617837
"Other","Staying informed of current events",60.677291650777
"Other","Doing community service",26.0898990083805
"Other","Respecting people's differences",87.7750311567512
"Other","Protecting the environment",82.4005130120972
"Other","Caring for future generations",68.9768259651012
"White","Voting",89.3785529932876
"White","Following the Constitution",94.0880743397279
"White","Being patriotic",62.7378909169162
"White","Working hard",50.6452770417154
"White","Making your voice heard",48.3291712666981
"White","Fighting for people’s rights",71.4593473112306
"White","Supporting your family",60.8879875798417
"White","Supporting democracy",80.610448518474
"White","Protesting unfairness",50.111474293211
"White","Donating to charity",31.456476112797
"White","Defending freedom",87.7396116078179
"White","Obeying the law",94.9225703107885
"White","Practicing freedom of speech",75.9221330946884
"White","Helping your community",71.1274034951014
"White","Joining the military",40.4433563097622
"White","Supporting equality",70.1201628722144
"White","Loving America",57.8526007549127
"White","Making the most of your opportunities",41.4776644386469
"White","Connecting across differences",47.4006624541944
"White","Being grateful for your opportunities",60.449534779771
"White","Honoring the flag",79.9699528745302
"White","Welcoming refugees",42.2602855864676
"White","Paying your taxes",91.453534608236
"White","Being self-reliant",49.8745533184875
"White","Reporting for jury duty",90.0217976804731
"White","Staying informed of current events",50.5803002844145
"White","Doing community service",52.8513429059083
"White","Respecting people's differences",67.4807016249194
"White","Protecting the environment",70.535805698525
"White","Caring for future generations",68.2887941168283
