"religion","duty_label","mean"
"Agnostic","Voting",88.2096281370792
"Agnostic","Following the Constitution",93.070276369699
"Agnostic","Being patriotic",40.4123517698077
"Agnostic","Working hard",48.1025025137428
"Agnostic","Making your voice heard",53.7470874504822
"Agnostic","Fighting for people’s rights",74.0731851559718
"Agnostic","Supporting your family",59.4898843552073
"Agnostic","Supporting democracy",83.3302163245733
"Agnostic","Protesting unfairness",63.022513262275
"Agnostic","Donating to charity",29.4967994707066
"Agnostic","Defending freedom",87.961874007599
"Agnostic","Obeying the law",92.239887682997
"Agnostic","Practicing freedom of speech",76.8198697981554
"Agnostic","Helping your community",78.480624914546
"Agnostic","Joining the military",25.1655937085338
"Agnostic","Supporting equality",78.2048673746464
"Agnostic","Loving America",34.6559539818445
"Agnostic","Making the most of your opportunities",37.3914509716172
"Agnostic","Connecting across differences",48.1068147438593
"Agnostic","Being grateful for your opportunities",47.0704427183295
"Agnostic","Honoring the flag",59.8609758215942
"Agnostic","Welcoming refugees",64.4752407201584
"Agnostic","Paying your taxes",91.543386187085
"Agnostic","Being self-reliant",46.1254752764425
"Agnostic","Reporting for jury duty",87.5456398215934
"Agnostic","Staying informed of current events",57.2325140045681
"Agnostic","Doing community service",57.0073102914385
"Agnostic","Respecting people's differences",78.0662926298465
"Agnostic","Protecting the environment",80.3046614656671
"Agnostic","Caring for future generations",73.7904093347239
"Atheist","Voting",89.1614047205593
"Atheist","Following the Constitution",92.4240495290941
"Atheist","Being patriotic",36.9997938851619
"Atheist","Working hard",41.3060809403394
"Atheist","Making your voice heard",58.0348038821608
"Atheist","Fighting for people’s rights",77.317494700703
"Atheist","Supporting your family",57.2548330149806
"Atheist","Supporting democracy",84.0695579220302
"Atheist","Protesting unfairness",64.3744406926683
"Atheist","Donating to charity",29.4000226265803
"Atheist","Defending freedom",78.6552364402198
"Atheist","Obeying the law",91.5296078989597
"Atheist","Practicing freedom of speech",78.2040605719916
"Atheist","Helping your community",69.3637884265447
"Atheist","Joining the military",25.6906861681575
"Atheist","Supporting equality",71.1142865923503
"Atheist","Loving America",30.3793793537066
"Atheist","Making the most of your opportunities",45.119345852805
"Atheist","Connecting across differences",57.4619626620675
"Atheist","Being grateful for your opportunities",45.3358871784124
"Atheist","Honoring the flag",51.3587961319953
"Atheist","Welcoming refugees",60.4365178996794
"Atheist","Paying your taxes",88.408726951539
"Atheist","Being self-reliant",44.6649567009263
"Atheist","Reporting for jury duty",86.4963998437651
"Atheist","Staying informed of current events",56.8870220953765
"Atheist","Doing community service",48.5866437220423
"Atheist","Respecting people's differences",73.6395221643623
"Atheist","Protecting the environment",79.5669314305501
"Atheist","Caring for future generations",72.8678707710336
"Buddhist","Voting",84.0662745251453
"Buddhist","Following the Constitution",88.086446314776
"Buddhist","Being patriotic",56.0469796107308
"Buddhist","Working hard",65.4299873478955
"Buddhist","Making your voice heard",68.0267305007024
"Buddhist","Fighting for people’s rights",76.9018165342028
"Buddhist","Supporting your family",69.2006372530554
"Buddhist","Supporting democracy",68.7565462138874
"Buddhist","Protesting unfairness",74.9261939262382
"Buddhist","Donating to charity",51.4822847639136
"Buddhist","Defending freedom",90.4106146466731
"Buddhist","Obeying the law",85.540723579996
"Buddhist","Practicing freedom of speech",88.2179617230114
"Buddhist","Helping your community",78.8229884013721
"Buddhist","Joining the military",38.1898268276572
"Buddhist","Supporting equality",82.586362079462
"Buddhist","Loving America",54.4846847010384
"Buddhist","Making the most of your opportunities",55.8425182497231
"Buddhist","Connecting across differences",69.5099726193173
"Buddhist","Being grateful for your opportunities",69.680368911811
"Buddhist","Honoring the flag",70.8000610316977
"Buddhist","Welcoming refugees",56.4763279548764
"Buddhist","Paying your taxes",78.1918634118432
"Buddhist","Being self-reliant",61.0787327970587
"Buddhist","Reporting for jury duty",79.1428001194711
"Buddhist","Staying informed of current events",65.4459840174416
"Buddhist","Doing community service",60.7109987361403
"Buddhist","Respecting people's differences",84.6310164993897
"Buddhist","Protecting the environment",84.6978333501312
"Buddhist","Caring for future generations",78.0659336057425
"Eastern or Greek Orthodox","Voting",81.1540121909195
"Eastern or Greek Orthodox","Following the Constitution",86.9950203763509
"Eastern or Greek Orthodox","Being patriotic",72.718233534379
"Eastern or Greek Orthodox","Working hard",74.3658131163839
"Eastern or Greek Orthodox","Making your voice heard",61.5192932653578
"Eastern or Greek Orthodox","Fighting for people’s rights",69.4603914792304
"Eastern or Greek Orthodox","Supporting your family",50.4988037339471
"Eastern or Greek Orthodox","Supporting democracy",81.1540121909195
"Eastern or Greek Orthodox","Protesting unfairness",60.835457079741
"Eastern or Greek Orthodox","Donating to charity",39.0940734909262
"Eastern or Greek Orthodox","Defending freedom",82.5366842989284
"Eastern or Greek Orthodox","Obeying the law",94.3010049338246
"Eastern or Greek Orthodox","Practicing freedom of speech",75.196743201909
"Eastern or Greek Orthodox","Helping your community",75.5369355107453
"Eastern or Greek Orthodox","Joining the military",57.7879925594881
"Eastern or Greek Orthodox","Supporting equality",82.9629943673829
"Eastern or Greek Orthodox","Loving America",59.5729024794655
"Eastern or Greek Orthodox","Making the most of your opportunities",44.5215662855387
"Eastern or Greek Orthodox","Connecting across differences",35.9402620090476
"Eastern or Greek Orthodox","Being grateful for your opportunities",45.9130630689701
"Eastern or Greek Orthodox","Honoring the flag",73.9023029001187
"Eastern or Greek Orthodox","Welcoming refugees",50.8711821935815
"Eastern or Greek Orthodox","Paying your taxes",86.5177818231836
"Eastern or Greek Orthodox","Being self-reliant",55.6619806613838
"Eastern or Greek Orthodox","Reporting for jury duty",86.0636567172758
"Eastern or Greek Orthodox","Staying informed of current events",69.8968787932673
"Eastern or Greek Orthodox","Doing community service",73.8316048514217
"Eastern or Greek Orthodox","Respecting people's differences",62.3010777351741
"Eastern or Greek Orthodox","Protecting the environment",75.3877328637454
"Eastern or Greek Orthodox","Caring for future generations",72.3450493365086
"Hindu","Voting",88.6317260178126
"Hindu","Following the Constitution",69.9379590083878
"Hindu","Being patriotic",73.0624905369492
"Hindu","Working hard",70.8182035183853
"Hindu","Making your voice heard",84.1439799077169
"Hindu","Fighting for people’s rights",72.5989208608996
"Hindu","Supporting your family",57.1410472578547
"Hindu","Supporting democracy",88.0591611849562
"Hindu","Protesting unfairness",44.5182412606968
"Hindu","Donating to charity",47.6726424973229
"Hindu","Defending freedom",95.6738945471011
"Hindu","Obeying the law",90.4976719646641
"Hindu","Practicing freedom of speech",100
"Hindu","Helping your community",100
"Hindu","Joining the military",38.2094910051391
"Hindu","Supporting equality",65.7145201415407
"Hindu","Loving America",77.2241174517648
"Hindu","Making the most of your opportunities",61.6916435502507
"Hindu","Connecting across differences",86.8941907992597
"Hindu","Being grateful for your opportunities",88.3446028857538
"Hindu","Honoring the flag",90.9919411073681
"Hindu","Welcoming refugees",55.0296939036957
"Hindu","Paying your taxes",82.1878664636272
"Hindu","Being self-reliant",56.6467753753856
"Hindu","Reporting for jury duty",90.4976719646641
"Hindu","Staying informed of current events",55.8912442628671
"Hindu","Doing community service",78.6446581227615
"Hindu","Respecting people's differences",100
"Hindu","Protecting the environment",90.4685693090166
"Hindu","Caring for future generations",95.5072251619054
"Jewish","Voting",96.1569052110717
"Jewish","Following the Constitution",93.0218537323835
"Jewish","Being patriotic",57.6178651992049
"Jewish","Working hard",48.2003007699189
"Jewish","Making your voice heard",58.1813992584032
"Jewish","Fighting for people’s rights",76.0868174052025
"Jewish","Supporting your family",55.1312442111008
"Jewish","Supporting democracy",85.1468905437004
"Jewish","Protesting unfairness",64.4019427509814
"Jewish","Donating to charity",41.6644931882401
"Jewish","Defending freedom",85.4057545329993
"Jewish","Obeying the law",95.0315336689088
"Jewish","Practicing freedom of speech",76.3274374944059
"Jewish","Helping your community",76.3603968507826
"Jewish","Joining the military",40.4513709007714
"Jewish","Supporting equality",82.5218904926966
"Jewish","Loving America",48.0263861696721
"Jewish","Making the most of your opportunities",43.9399272027991
"Jewish","Connecting across differences",53.3186457855069
"Jewish","Being grateful for your opportunities",54.7410564560709
"Jewish","Honoring the flag",71.0353130528086
"Jewish","Welcoming refugees",57.2692977031791
"Jewish","Paying your taxes",93.4356914612201
"Jewish","Being self-reliant",45.3122690917601
"Jewish","Reporting for jury duty",95.177181638701
"Jewish","Staying informed of current events",61.0434970289853
"Jewish","Doing community service",60.2524053697652
"Jewish","Respecting people's differences",79.3883999165446
"Jewish","Protecting the environment",77.9269436334592
"Jewish","Caring for future generations",73.6744144549041
"Mormon","Voting",84.3493946871784
"Mormon","Following the Constitution",80.9923017886898
"Mormon","Being patriotic",61.261747761951
"Mormon","Working hard",59.1147074537569
"Mormon","Making your voice heard",55.6518815711546
"Mormon","Fighting for people’s rights",68.565995123211
"Mormon","Supporting your family",44.9458619119154
"Mormon","Supporting democracy",68.8315401459896
"Mormon","Protesting unfairness",44.926267065826
"Mormon","Donating to charity",37.8884403429346
"Mormon","Defending freedom",82.2583080162246
"Mormon","Obeying the law",96.8109128692983
"Mormon","Practicing freedom of speech",61.5774864744777
"Mormon","Helping your community",54.4639060723673
"Mormon","Joining the military",27.5382884850208
"Mormon","Supporting equality",64.2017219426188
"Mormon","Loving America",47.2700460566612
"Mormon","Making the most of your opportunities",42.1965762725254
"Mormon","Connecting across differences",43.430072593027
"Mormon","Being grateful for your opportunities",66.8012835695616
"Mormon","Honoring the flag",87.0458300557397
"Mormon","Welcoming refugees",41.8436230041016
"Mormon","Paying your taxes",88.7572527958612
"Mormon","Being self-reliant",30.8850074511765
"Mormon","Reporting for jury duty",83.8045422138177
"Mormon","Staying informed of current events",48.3253037849291
"Mormon","Doing community service",50.395255980245
"Mormon","Respecting people's differences",71.1908627662883
"Mormon","Protecting the environment",74.8756032591598
"Mormon","Caring for future generations",42.3684956870753
"Muslim","Voting",88.1315325061205
"Muslim","Following the Constitution",91.7331006512038
"Muslim","Being patriotic",71.376339681858
"Muslim","Working hard",68.0511698051976
"Muslim","Making your voice heard",76.7755546989954
"Muslim","Fighting for people’s rights",84.6302315862852
"Muslim","Supporting your family",81.4414271535002
"Muslim","Supporting democracy",77.4598215293253
"Muslim","Protesting unfairness",76.1292670796854
"Muslim","Donating to charity",68.5301255562846
"Muslim","Defending freedom",93.0598345510521
"Muslim","Obeying the law",88.393090477387
"Muslim","Practicing freedom of speech",89.7593947879405
"Muslim","Helping your community",78.5243030240305
"Muslim","Joining the military",70.3781589325777
"Muslim","Supporting equality",83.7282853119865
"Muslim","Loving America",72.8439726170416
"Muslim","Making the most of your opportunities",74.2695327643475
"Muslim","Connecting across differences",71.5014427400508
"Muslim","Being grateful for your opportunities",79.3484264168777
"Muslim","Honoring the flag",80.2155429965425
"Muslim","Welcoming refugees",70.1277141585506
"Muslim","Paying your taxes",85.4396625216374
"Muslim","Being self-reliant",76.7394068624587
"Muslim","Reporting for jury duty",80.9667857929943
"Muslim","Staying informed of current events",64.7897266729057
"Muslim","Doing community service",80.5979242786841
"Muslim","Respecting people's differences",78.7706021008113
"Muslim","Protecting the environment",78.1002976927993
"Muslim","Caring for future generations",85.6457545068161
"Nothing in particular","Voting",79.7364148659912
"Nothing in particular","Following the Constitution",87.9452071535122
"Nothing in particular","Being patriotic",53.5915788989599
"Nothing in particular","Working hard",55.7899902507263
"Nothing in particular","Making your voice heard",57.3958319891759
"Nothing in particular","Fighting for people’s rights",76.5486178173904
"Nothing in particular","Supporting your family",66.45032216284
"Nothing in particular","Supporting democracy",67.9824555943243
"Nothing in particular","Protesting unfairness",58.6338547123156
"Nothing in particular","Donating to charity",30.6613800016516
"Nothing in particular","Defending freedom",84.228506258765
"Nothing in particular","Obeying the law",89.5333969286829
"Nothing in particular","Practicing freedom of speech",77.5847034595182
"Nothing in particular","Helping your community",69.192427432185
"Nothing in particular","Joining the military",32.9787091986382
"Nothing in particular","Supporting equality",72.6432436391042
"Nothing in particular","Loving America",52.343303806251
"Nothing in particular","Making the most of your opportunities",48.6070514996493
"Nothing in particular","Connecting across differences",55.9342272325813
"Nothing in particular","Being grateful for your opportunities",58.0934124262346
"Nothing in particular","Honoring the flag",69.2110667181779
"Nothing in particular","Welcoming refugees",45.1157658438007
"Nothing in particular","Paying your taxes",84.3454703793421
"Nothing in particular","Being self-reliant",54.561138352144
"Nothing in particular","Reporting for jury duty",79.3476867724183
"Nothing in particular","Staying informed of current events",48.6284617295251
"Nothing in particular","Doing community service",52.3098153965971
"Nothing in particular","Respecting people's differences",71.3884841744371
"Nothing in particular","Protecting the environment",75.7662814855675
"Nothing in particular","Caring for future generations",73.2660580381247
"Protestant","Voting",91.6660283085117
"Protestant","Following the Constitution",94.9209871390126
"Protestant","Being patriotic",63.7659266116228
"Protestant","Working hard",52.4566006152075
"Protestant","Making your voice heard",48.7169336588584
"Protestant","Fighting for people’s rights",69.4895820795546
"Protestant","Supporting your family",63.1355103770212
"Protestant","Supporting democracy",84.1937105006924
"Protestant","Protesting unfairness",47.7960128149935
"Protestant","Donating to charity",32.0498898489503
"Protestant","Defending freedom",89.5637050655104
"Protestant","Obeying the law",95.4177091411044
"Protestant","Practicing freedom of speech",76.1709940987303
"Protestant","Helping your community",74.7199463540751
"Protestant","Joining the military",42.2104071494335
"Protestant","Supporting equality",67.5763998159909
"Protestant","Loving America",62.384412671157
"Protestant","Making the most of your opportunities",41.9991084790053
"Protestant","Connecting across differences",44.9554684380622
"Protestant","Being grateful for your opportunities",62.3705327790057
"Protestant","Honoring the flag",84.084657059228
"Protestant","Welcoming refugees",38.947462109212
"Protestant","Paying your taxes",92.3920051690422
"Protestant","Being self-reliant",50.6766640182798
"Protestant","Reporting for jury duty",92.004167888449
"Protestant","Staying informed of current events",49.857563636983
"Protestant","Doing community service",54.8190056885437
"Protestant","Respecting people's differences",66.6838964851751
"Protestant","Protecting the environment",64.9595964102067
"Protestant","Caring for future generations",66.3366076100784
"Roman Catholic","Voting",88.651131138934
"Roman Catholic","Following the Constitution",91.888555883241
"Roman Catholic","Being patriotic",66.3767416668043
"Roman Catholic","Working hard",55.1899652052314
"Roman Catholic","Making your voice heard",55.5654779321007
"Roman Catholic","Fighting for people’s rights",74.2809617172519
"Roman Catholic","Supporting your family",65.4385367846974
"Roman Catholic","Supporting democracy",79.4299093536446
"Roman Catholic","Protesting unfairness",52.7426362436468
"Roman Catholic","Donating to charity",39.0044381037685
"Roman Catholic","Defending freedom",87.5579715132589
"Roman Catholic","Obeying the law",94.3904644585637
"Roman Catholic","Practicing freedom of speech",79.090922804589
"Roman Catholic","Helping your community",73.5633548397291
"Roman Catholic","Joining the military",43.0999353723685
"Roman Catholic","Supporting equality",74.2957345129987
"Roman Catholic","Loving America",63.9092818775255
"Roman Catholic","Making the most of your opportunities",46.8561099411868
"Roman Catholic","Connecting across differences",52.4749394303097
"Roman Catholic","Being grateful for your opportunities",64.5336982627856
"Roman Catholic","Honoring the flag",83.7498776509798
"Roman Catholic","Welcoming refugees",43.3361935312142
"Roman Catholic","Paying your taxes",90.1326822537454
"Roman Catholic","Being self-reliant",51.9609887966723
"Roman Catholic","Reporting for jury duty",85.6101012139161
"Roman Catholic","Staying informed of current events",54.0949056926899
"Roman Catholic","Doing community service",57.7772241727242
"Roman Catholic","Respecting people's differences",70.0973378342026
"Roman Catholic","Protecting the environment",73.3465393891939
"Roman Catholic","Caring for future generations",71.0203176131295
"Something else","Voting",84.7693256114227
"Something else","Following the Constitution",89.2480402490597
"Something else","Being patriotic",62.6404259634841
"Something else","Working hard",58.5510483810732
"Something else","Making your voice heard",57.8382975988178
"Something else","Fighting for people’s rights",77.5217439788006
"Something else","Supporting your family",68.4536521034389
"Something else","Supporting democracy",68.7411287737775
"Something else","Protesting unfairness",54.7833159122289
"Something else","Donating to charity",39.7803614898317
"Something else","Defending freedom",88.6315427176795
"Something else","Obeying the law",92.4838058939587
"Something else","Practicing freedom of speech",76.9131952465609
"Something else","Helping your community",72.0013317927748
"Something else","Joining the military",46.9244838177704
"Something else","Supporting equality",73.7798503569829
"Something else","Loving America",63.0828890768543
"Something else","Making the most of your opportunities",50.1315959072801
"Something else","Connecting across differences",54.7834922045702
"Something else","Being grateful for your opportunities",66.4455718827145
"Something else","Honoring the flag",81.8266729068981
"Something else","Welcoming refugees",42.5475292992734
"Something else","Paying your taxes",89.222305470558
"Something else","Being self-reliant",52.4799115035363
"Something else","Reporting for jury duty",85.0292891087081
"Something else","Staying informed of current events",50.1794178874917
"Something else","Doing community service",57.9749269442836
"Something else","Respecting people's differences",70.7212869882429
"Something else","Protecting the environment",72.8495564800272
"Something else","Caring for future generations",69.3400927657082
